Stage,LoanCount,CurrentBalance,EAD,Model_ECL,Recompute_ECL,CoverageRatio,Variance
Stage 1,422,272932661.65,280089277.9,2792098.2699999996,2792098.2410081998,0.010229989526063011,0.02899179980158806
Stage 2,45,27153397.919999998,27890556.559999995,1648395.0299999996,1648395.0303482956,0.060706768075823925,-0.00034829601645469666
Stage 3,33,17699142.57,18184337.44,7222459.6,7222459.583584728,0.4080683327700885,0.016415271908044815
TOTAL,500,317785202.14,326164171.9,11662952.899999999,11662952.854941223,0.03670074258165708,0.04505877569317818
